zip,total_pop,median
98671,23058,89695
98672,6874,65549
98673,578,31667
98674,12919,71532
98675,7159,75972
98682,60887,75634
98683,33219,70099
98684,29396,66781
98685,29792,103120
98686,20504,86382
98801,43366,58670
98802,31422,68363
98811,207,86324
98812,5153,48790
98813,2836,46209
98814,814,54495
98815,7622,62526
98816,6007,55357
98817,177,55357
98819,183,38750
98821,306,38750
98822,1848,56006
98823,11304,62795
98824,467,43875
98826,7520,63488
98827,568,55625
98828,2473,66740
98829,616,40375
98830,572,52946
98831,3193,49764
98832,206,58438
98833,139,97548
98834,199,44375
98836,1051,44375
98837,44136,55876
98840,4862,48011
98841,9289,46746
98843,1840,56429
98844,4252,42783
98845,345,50167
98846,1255,62813
98847,2446,50740
98848,12299,63322
98849,1318,50149
98850,1661,52647
98851,4874,47386
98852,15,38125
98853,14,38125
98855,6057,40658
98856,2561,48900
98857,3595,40054
98858,1938,57955
98859,174,71042
98860,235,37500
98862,2461,59787
98901,32358,42151
98902,46130,43461
98903,14086,52634
98908,36965,64974
98921,127,64974
98922,6607,57458
98923,1215,48846
98925,532,74583
98926,34725,56018
98929,0,56018
98930,15627,53781
98932,5442,55280
98933,1051,58203
98934,1166,45278
98935,4035,51648
98936,6752,65875
98937,4031,61635
98938,2777,49821
98939,91,49821
98940,241,49821
98941,539,44886
98942,17425,62682
98943,1015,62847
98944,23586,46393
98946,563,54583
98947,3672,51450
98948,13251,50291
98950,57,50291
98951,12721,48866
98952,2234,49821
98953,7082,64958
99001,7062,49342
99003,4410,67669
99004,20764,50725
99005,8948,94571
99006,12818,62741
99008,1105,67614
99009,4091,52892
99011,3336,67656
99012,890,54583
99013,1815,44474
99016,15804,75012
99017,126,45625
99018,230,57647
99019,12208,85131
99020,0,85131
99021,10019,73091
99022,8810,71733
99023,715,103571
99025,5431,75698
99026,8521,79044
99027,6378,67945
99029,928,67760
99030,976,52125
99031,1405,75375
99032,768,46667
99033,828,60469
99034,34,60469
99036,1689,95625
99037,14628,58000
99039,72,42500
99040,719,28080
99101,1418,43207
99102,528,68333
99103,523,78333
99105,37,49375
99109,5103,44512
99110,1839,41935
99111,4234,52246
99113,739,60526
99114,12876,50067
99115,1060,51964
99116,1521,56974
99117,461,53125
99118,718,38304
99119,1218,48482
99121,217,30341
99122,4122,58059
99123,918,58750
99124,271,45000
99125,608,47656
99126,1347,61563
99128,337,57813
99129,746,38906
99130,928,58583
99131,176,62188
99133,1756,51172
99134,542,35917
99135,301,73188
99136,17,33750
99137,327,45833
99138,1135,38587
99139,1301,57500
99140,432,31389
99141,5396,54213
99143,691,48523
99144,18,34063
99146,24,17019
99147,123,63828
99148,1928,58672
99149,299,38875
99150,362,44000
99151,102,30938
99152,105,63750
99153,392,39464
99154,31,39464
99155,1007,30673
99156,8608,51389
99157,736,34423
99158,606,61346
99159,1524,53942
