station_name,zip,city,latitude,longitude,open_date,nearest_dist1,nearest_dist2,is_far1,is_far2,is_really_far,nearest_drive1,nearest_drive2
Mazama Country Inn,98833,Mazama,48.594482,-120.406494,2013-11-01,10.668055245149485,12.86923170535583,1,1,1,13.970661332451199,14.1217166692264
SS Central Park,98944,Sunnyside,46.3227794,-120.015553,,12.946835176258533,13.121761451478676,1,1,1,13.853532862759199,14.061008703768
FRED MEYER - #682 Maple Valley,98038,Maple Valley,47.362455,-122.01798799999999,,3.9359503949842085,4.025548864795826,1,1,1,13.248503733108802,20.4254652749472
City of Seattle - Cedar Falls,98045,North Bend,47.421009999999995,-121.791179,2017-04-01,4.777036787222253,4.856357731608953,1,1,1,13.2429735295,31.972157587406397
Rocky Reach Dam Visitor Center,98801,Wenatchee,47.531819,-120.300871,2017-05-15,4.755509850528967,4.939223299855,1,1,1,12.8774208572464,27.6551190938672
BJ’s Entiat - Tesla Supercharger,98822,Entiat,47.684827,-120.206919,2020-12-21,6.814670983792481,11.44578945789605,1,1,1,12.8774208572464,14.7776982366208
National Park Service - Longmire Administration Building,98304,Ashford,46.750240999999995,-121.81277800000001,2018-04-01,5.890866850378109,5.890866850378109,1,1,1,12.831625800396,16.674433800200802
LCCR LCCR-W-PARKING,98584,Shelton,47.128369,-123.103178,,7.128483390782255,7.128483390782255,1,1,1,12.600102894256802,16.5356816130272
Light House Park,98275,Mukilteo,47.9487555,-122.30620090000001,,3.0512691623435355,3.1169980151703633,1,1,1,12.4408454577472,12.872946984664
Shoalwater Bay Casino,98590,Grayland,46.725016499999995,-124.02067079999999,,10.200106832389002,19.966057798117482,1,1,1,11.64915642202,30.6319220633816
Cranberry Road Winery - Tesla Destination,98595,Westport,46.860034000000006,-124.10773200000001,2017-03-01,10.200106832389002,12.959344389957339,1,1,1,11.64915642202,19.146931910288
Chehalis Commerce District,98532,Chehalis,46.679873799999996,-122.9771577,,2.4878786046459926,3.1391048028215476,0,1,1,10.443447761063199,30.3542312776768
Jefferson Transit Authority Four Corners Park N Ride,98368,Port Townsend,48.050028999999995,-122.81865400000001,2018-01-01,3.0230942043479647,3.69747075743063,1,1,1,10.422507551892801,10.4443798178512
Quillayute River Resort - Tesla Destination,98331,Forks,47.915109,-124.54488300000001,2017-03-01,7.317265895632443,7.6595949708546796,1,1,1,10.342785627959199,10.4224454147736
Grand Mound Liquor Store,98579,Rochester,46.798296,-123.01224599999999,2017-01-01,5.005653844085927,5.357211927895814,1,1,1,10.3095422691872,30.902653491736
Sun Mountain Lodge - Tesla Destination,98862,Winthrop,48.476863,-120.255895,2016-03-01,3.2140815036951356,3.450212347748934,1,1,1,10.1458109600952,10.2968662968704
Freehand Cellars - Tesla Destination,98951,Wapato,46.489666,-120.407303,2019-09-30,8.250858362310042,8.250858362310042,1,1,1,9.8797398156808,9.8809204209456
59er Diner,98826,Leavenworth,47.758434,-120.74241599999999,2014-01-15,4.449075979965206,11.760349621749356,1,1,1,9.831956371016,20.563658228048
Mountain Springs Lodge - Tesla Destination,98826,Leavenworth,47.767846999999996,-120.647931,2015-09-16,4.449075979965206,11.705819430879714,1,1,1,9.831956371016,29.553780908142397
Dan Wilder Nissan,98362,Port Angeles,48.102863,-123.34227299999999,2011-03-15,3.4957491020988702,3.525522804037347,1,1,1,9.529037914916,12.0232840167232
The Ridge Motorsports Park - Tesla Destination,98584,Shelton,47.254363,-123.19681499999999,2020-11-03,5.974708976967709,8.500479896699618,1,1,1,9.459755027008,12.080947263340802
TwispWorks,98856,Twisp,48.362102,-120.121376,2016-08-05,8.366308927487289,8.630292315407186,1,1,1,9.0610211331016,9.2120764698768
City of Waitsburg,99361,Waitsburg,46.27074879999999,-118.1532507,,7.933166239290253,8.947262760380362,1,1,1,8.5810118872816,9.697802330663201
Orcas Village Park and Ride,98280,Orcas,48.599216999999996,-122.945746,2017-10-31,4.927656392429288,4.936614490046687,1,1,1,8.4220029992488,8.6254399275096
Doe Bay Resort,98279,Olga,48.641279,-122.781015,2016-01-01,4.035630656578994,6.697692773491121,1,1,1,8.27821770542,10.9848484806528
VASHON TWAY THRIFTWAY #1,98070,Vashon,47.448013,-122.45897,,4.736095018113162,5.492370297821216,1,1,1,7.9815750983592,24.8547855428808
Kitsap Transit - Harper Church,98366,Port Orchard,47.504444,-122.51638799999999,2017-02-01,4.736095018113162,5.272150705997363,1,1,1,7.877743972176,17.059435390764
Alderbrook Resort & Spa - Tesla Destination,98592,Union,47.347192,-123.067683,2015-12-01,4.417081167358804,4.517699939555835,1,1,1,7.52169827916,10.1428905154928
Lost Mountain Lodge - Tesla Destination,98382,Sequim,48.062315999999996,-123.16821200000001,2017-09-01,3.136449712642442,3.42759084314107,1,1,1,7.203866914452,9.6449857793432
GreenHouse Inn by the Bay - Tesla Destination,98382,Sequim,48.148748,-123.153244,2017-03-01,5.238935146472617,5.280407945426476,1,1,1,7.203866914452,12.0538554793696
Haven Design Workshop,98248,Ferndale,48.852923499999996,-122.5895254,2019-04-01,4.759303630964209,5.635146889730965,1,1,1,7.1512989116088,7.8024337837056
Smokiam Park,98851,Soap Lake,47.39125,-119.48364699999999,2017-08-01,6.073013916829744,18.07115136873818,1,1,1,6.3264286542288,22.873170674473602
Confluence Health | Ephrata Clinic,98823,Ephrata,47.31711,-119.55315800000001,2020-08-24,6.073013916829744,15.226347447673772,1,1,1,6.3264286542288,17.7046050994176
Sweet Earth Farm,98250,Friday Harbor,48.561173,-123.164341,2017-01-01,0.6302853925515618,3.2226154730726053,0,1,1,6.2455882621495995,17.053843050036
Roche Harbor Marina,98250,Roche Harbor,48.607282,-123.153777,2020-12-21,2.6660147001262393,3.2226154730726053,0,1,1,6.2455882621495995,18.5304695507048
Skamania Lodge - Tesla Destination,98648,Stevenson,45.685326,-121.905864,2016-04-01,5.097674375842693,28.107953907542814,1,1,1,6.1397066110328,63.10465628306321
Carson Ridge Luxury Cabins - Tesla Destination,98610,Carson,45.729351,-121.821302,2016-06-01,5.097674375842693,32.11075773229978,1,1,1,6.122246080537599,53.87977956663121
Odd Fellows Hall,98245,Eastsound,48.692979,-122.904798,2017-01-01,3.477708801166981,6.697692773491121,1,1,1,5.6042089177672,8.4220029992488
Rosario Resort,98245,Eastsound,48.648792,-122.86841799999999,2016-01-01,3.477708801166981,4.035630656578994,1,1,1,5.5921543166424,8.2661631042952
"Target T1331 - Lake Stevens, WA",98258,Lake Stevens,47.998233,-122.10063799999999,,4.158768920697322,4.163005559516487,1,1,1,5.00825180752,5.1069876899288
Skagit Valley Casino,98232,Bow,48.559758,-122.34713400000001,,3.480439326013888,7.088178330762788,1,1,1,4.5987060548728,17.9381785304904
Camaray Motel,98844,Oroville,48.938283,-119.436456,2017-07-01,3.510527428659769,16.079697948048654,1,1,1,4.3894282374072,16.936093209152
Veranda Beach Resort - Tesla Destination,98844,Oroville,48.98807,-119.42111000000001,2017-09-01,3.510527428659769,19.535768477872004,1,1,1,4.3894282374072,20.6646931838672
Fairfield Inn & Suites Burlington - Tesla Supercharger,98233,Burlington,48.5097,-122.3387,2013-06-01,3.480439326013888,3.6127662041507027,1,1,1,4.3766901279712,14.1008385971752
Mount Rainier National Park,98304,Ashford,46.755815999999996,-122.12089399999999,2019-07-15,3.8394626720004683,6.60043360491058,1,1,1,4.084583530612,16.6631869816256
Mount Rainier National Park,98397,Longmire,46.761214,-122.040397,2014-05-22,2.774290677794342,3.8394626720004683,0,1,1,4.084583530612,12.82044111894
Seabrook Street Parking,98356,Copalis Crossing,47.195359,-124.196082,2014-02-01,3.2648018999416286,3.293303562203375,1,1,1,3.5326816378776003,3.576612581152
Lucky Dog Casino,98584,Shelton,47.337269,-123.16061100000002,,2.559048298900631,4.417081167358804,0,1,1,2.7260796935424,7.52169827916
Mason County PUD No. 1,98584,Shelton,47.374140999999995,-123.155375,,2.559048298900631,4.517699939555835,0,1,1,2.7260796935424,10.1428905154928
Badger Mountain Vineyard & Powers Winery - Tesla Destination,99338,Kennewick,46.212821000000005,-119.287621,2017-09-01,1.5967008476913231,3.2658063792562784,0,1,1,2.5296642597512,18.814187636972
CM80 STATION 1,98498,Lakewood,47.116968,-122.56854299999999,,1.592937214594047,3.144869414482381,0,1,1,2.510028930084,14.8584143544616
Kennewick Recharge,99338,Kennewick,46.195469,-119.265621,,1.5967008476913231,3.84377754997425,0,1,1,2.4610648801544,16.524745480048
Fort Lewis,98433,Fort Lewis,47.10579,-122.539,2018-09-01,1.592937214594047,3.6667189106120888,0,1,1,2.444163583732,15.4511403345104
Snoqualmie - Snoqualmie Pass Chevron,98068,Snoqualmie Pass,47.42094,-121.4113,,1.3445822892753976,14.66364359522303,0,1,1,1.4752594840464,18.191325154111198
Silver Fir Lodge,98068,Snoqualmie Pass,47.401691,-121.407058,2021-03-15,1.3445822892753976,15.206533646035057,0,1,1,1.4752594840464,19.6217216380952
Birch Bay Square - Tesla Supercharger,98230,Blaine,48.9378,-122.6677,2020-01-31,1.1154757431695026,5.5152205268761705,0,1,1,1.3719254548168,7.662128168552
I-5 Custer SB Rest Area,98240,Custer,48.927904,-122.648343,,1.1154757431695026,5.833376290745485,0,1,1,1.3719254548168,7.0122360388392
Island Athletic Club - Tesla Destination,98249,Freeland,48.010776,-122.533294,2016-12-15,0.7264044150485095,6.065901964004413,0,1,1,1.2574688812504,13.4684691350768
CHINA CITY N CHINA CITY #2,98249,Freeland,48.009823,-122.51768999999999,,0.7264044150485095,5.418538547984967,0,1,1,1.2574688812504,12.605136000912
Dayton,99328,Dayton,46.320465000000006,-117.98068,,1.0787491441069783,8.947262760380362,0,1,1,1.1938404711896,9.697802330663201
Blue Mountain Station - Tesla Destination,99328,Dayton,46.31017,-117.99763,2019-03-01,1.0787491441069783,7.933166239290253,0,1,1,1.1938404711896,8.5810118872816
Skagit General Store,98283,Rockport,48.6735,-121.24471100000001,2019-10-26,0.7668135168424915,25.368879211559122,0,1,1,0.835433567644,32.2176613453656
Dew Drop Inn - Tesla Supercharger,98331,Forks,47.942921000000005,-124.3852,2020-04-03,0.49599729942203347,7.6595949708546796,0,1,1,0.8238760634728001,10.342785627959199
Forks Community Hospital,98331,Forks,47.946567294707,-124.39440425424,,0.49599729942203347,7.317265895632443,0,1,1,0.8238760634728001,10.4224454147736
Lopez Community Land Trust,98261,Lopez,48.530774,-122.914874,2016-01-01,0.6620810932850274,4.795147577496474,0,1,1,0.8168545690032,8.5257719883128
Lopez Island Library,98261,Lopez,48.521863,-122.909571,2016-01-01,0.6620810932850274,5.0946286961799085,0,1,1,0.8168545690032,8.8130318903744
Seattle City Light,98283,Rockport,48.673466,-121.261467,2012-01-01,0.7668135168424915,24.656811463842615,0,1,1,0.801879523276,31.382227777721603
Hobuck Beach Resort  RV Camping - Tesla Destination,98357,Neah Bay,48.333226337508364,-124.6597788994751,2015-11-01,0.5014651352575545,29.373390799310343,0,1,1,0.7790752005296,53.423817385941604
Hobuck Beach  Resort - Tesla Destination,98357,Neah Bay,48.340037081347205,-124.66353976322937,2015-10-01,0.5014651352575545,29.867743583683023,0,1,1,0.7790752005296,52.695446074679204
Cle Elum Business Park - Tesla Supercharger,98922,Cle Elum,47.1893,-120.9027,2018-12-01,0.038316315671884094,5.66027334483248,0,1,1,0.6812713749088001,6.3373026500888
Cle Elum,98922,Cle Elum,47.188833,-120.903139,,0.038316315671884094,5.647864036888531,0,1,1,0.6812713749088001,7.0530601261536
Guy Waring Guest House,98862,Winthrop,48.479357,-120.18603300000001,2018-01-01,0.3093355042983239,3.2140815036951356,0,1,1,0.4620516183712,9.014853253536
Pine Near RV Park,98862,Winthrop,48.476543,-120.180796,2013-09-23,0.3093355042983239,3.450212347748934,0,1,1,0.4620516183712,9.1659085903112
Electric Vehicle Infrastructure Transportation Alliance - Prosser,99350,Prosser,46.219978000000005,-119.785172,2020-03-01,0.20797763632350638,13.121761451478676,0,1,1,0.20747584100879998,14.067905923999199
Prosser,99350,Prosser,46.219996,-119.78951,,0.20797763632350638,12.946835176258533,0,1,1,0.20747584100879998,13.860492220109599
Colville City Hall,99114,Colville,48.543915000000005,-117.904797,,0.11477818076612384,38.82647026788148,0,1,1,0.20200777451920002,50.1464571708568
City of Colville,99114,Colville,48.545491999999996,-117.90558300000001,,0.11477818076612384,38.770617403318845,0,1,1,0.1834909129976,50.1734868177088
KOZ WEAVER WEAVER RD RIGHT,98290,Snohomish,47.938311999999996,-122.109156,,0.019055889391852734,4.158768920697322,0,1,1,0.098798019528,5.00825180752
KOZ WEAVER WEAVER RD MIDDL,98290,Snohomish,47.938226,-122.10876599999999,,0.019055889391852734,4.163005559516487,0,1,1,0.098798019528,5.1069876899288
Moonstone Beach Motel - Tesla Destination,98562,Moclips,47.24085,-124.217009,2017-09-01,0.028750876986874785,3.293303562203375,0,1,1,0.0439309432744,3.5786631060856
Gull Wing Inn,98562,Moclips,47.24044,-124.216904,2017-07-01,0.028750876986874785,3.2648018999416286,0,1,1,0.0439309432744,3.5326816378776003
Naval Facilities Engineering Command - Port Hadlock-Irondale - 151,98339,Port Hadlock,48.0553,-122.6957,2019-02-01,0.07292533842175249,4.991420427796501,0,1,1,0.021872265958400004,10.422507551892801
NAVMAG Indian Island / N61066-B151-1,98358,Marrowstone,48.054272,-122.695343,2021-01-15,0.07292533842175249,5.0582090901280985,0,1,1,0.021872265958400004,10.4443798178512
STEVENS PASS SPMR DUAL #1,98288,Skykomish,47.746482,-121.090001,,0.011289072148066818,12.84095710153057,0,1,1,0.010936132979200002,15.958676324136
STEVENS PASS SPMR DUAL #2,98288,Skykomish,47.746319,-121.08998400000002,,0.011289072148066818,12.83962583329719,0,1,1,0.010936132979200002,15.9477401911568
Hotel Cathlamet - Tesla Destination,98612,Cathlamet,46.202490000000004,-123.3842,2018-10-01,0.006083825413024582,21.71203228369014,0,1,1,0.008264236853600001,35.9529721289544
Hotel Cathlamet Rear Parking Lot,98612,Cathlamet,46.2025755,-123.38416950000001,,0.006083825413024582,21.711718652427496,0,1,1,0.008264236853600001,35.9447078921008
QBRC QBRC 2,98569,Ocean Shores,47.042614,-124.170718,,0.0025750849668202775,10.619161123032315,0,1,1,0.0025476218871999996,12.9202954694944
QBRC QBRC 1,98569,Ocean Shores,47.042642,-124.17068200000001,,0.0025750849668202775,10.617430547099596,0,1,1,0.0025476218871999996,12.917747847607199
CITY OF ZILLAH P&R NORTH,98953,Zillah,46.405066,-120.270721,,0.004214192353563037,8.756094691749473,0,1,1,0.0011184681456,9.6678522392088
CITY OF ZILLAH P&R SOUTH,98953,Zillah,46.405006,-120.27073700000001,,0.004214192353563037,8.758294901707659,0,1,1,0.0011184681456,9.6689707073544
Olympic National Park - Sol Duc Hot Springs Resort,98363,Port Angeles,47.96937,-123.86338,2018-09-01,0.0,6.69042478602622,0,1,1,0.0,21.4222689411536
Olympic National Park - Sol Duc Hot Springs Resort,98363,Port Angeles,47.96937,-123.86338,2018-09-01,0.0,6.69042478602622,0,1,1,0.0,21.4222689411536
Suncadia Resort - Tesla Destination,98922,Cle Elum,47.208469,-121.019582,2017-09-01,0.0,5.647864036888531,0,1,1,0.0,6.2961057400592
Cle Elum,98922,Cle Elum,47.208469,-121.019582,,0.0,5.647864036888531,0,1,1,0.0,6.2961057400592
